                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.57293,                0.55729,                  1.054,                0.97667,                0.95808,                0.98028,                0.83997,                0.60661,                0.30909,                 1.0666,               0.007096,               0.007096,               0.007096
                     90,                0.56493,                0.55894,                 1.0471,                0.94512,                0.97503,                0.98385,                0.83696,                0.61695,                0.33165,                 1.0605,               0.007063,               0.007063,               0.007063
                     91,                0.55985,                0.53646,                 1.0426,                0.97143,                0.95517,                0.98028,                0.83905,                  0.609,                0.32044,                 1.0591,                0.00703,                0.00703,                0.00703
                     92,                  0.563,                0.54626,                 1.0435,                0.97932,                 0.9437,                0.97734,                0.83601,                0.62114,                0.32489,                 1.0539,               0.006997,               0.006997,               0.006997
                     93,                0.56066,                0.54866,                 1.0384,                0.95536,                0.94933,                0.97828,                0.83063,                0.62801,                0.34464,                 1.0638,               0.006964,               0.006964,               0.006964
                     94,                0.56331,                0.54963,                 1.0457,                0.98827,                0.94849,                0.98453,                0.84177,                 0.6093,                0.31071,                  1.073,               0.006931,               0.006931,               0.006931
                     95,                0.55169,                0.52757,                  1.039,                 0.9765,                0.95617,                0.98048,                0.84008,                0.61876,                 0.3115,                 1.0844,               0.006898,               0.006898,               0.006898
                     96,                0.55348,                0.52097,                 1.0415,                0.96009,                0.96271,                0.98173,                0.83942,                0.62723,                0.31643,                 1.0772,               0.006865,               0.006865,               0.006865
                     97,                 0.5515,                0.52544,                  1.038,                0.96051,                0.95978,                0.98023,                 0.8364,                0.62399,                0.30952,                 1.0735,               0.006832,               0.006832,               0.006832
                     98,                0.54102,                0.52361,                 1.0229,                0.96778,                0.95623,                0.97953,                 0.8387,                0.60841,                0.31721,                 1.0592,               0.006799,               0.006799,               0.006799
                     99,                0.54488,                0.51356,                 1.0252,                0.97453,                0.95521,                0.98066,                0.83759,                0.62742,                 0.3148,                 1.0734,               0.006766,               0.006766,               0.006766
                    100,                0.54253,                0.51161,                 1.0308,                0.97119,                0.95979,                0.97872,                0.84555,                0.59996,                0.31489,                 1.0615,               0.006733,               0.006733,               0.006733
                    101,                0.53647,                0.51862,                 1.0311,                0.98122,                0.96451,                0.98253,                0.84112,                0.60218,                0.31515,                 1.0512,                 0.0067,                 0.0067,                 0.0067
                    102,                0.54257,                0.51586,                  1.026,                 0.9825,                0.96859,                0.98117,                0.84773,                0.60446,                0.29526,                 1.0453,               0.006667,               0.006667,               0.006667
                    103,                0.53105,                0.51262,                 1.0291,                  0.969,                0.96822,                0.97806,                0.84371,                0.60792,                0.31892,                 1.0572,               0.006634,               0.006634,               0.006634
                    104,                0.53976,                0.51437,                 1.0337,                0.94992,                 0.9588,                0.98007,                0.84258,                0.61259,                0.31574,                 1.0496,               0.006601,               0.006601,               0.006601
                    105,                 0.5316,                0.49869,                 1.0259,                 0.9712,                0.95692,                0.98064,                0.84651,                0.60944,                0.29908,                 1.0517,               0.006568,               0.006568,               0.006568
                    106,                0.52757,                0.49951,                 1.0251,                0.97627,                0.94646,                0.97492,                0.83983,                0.61662,                0.31068,                 1.0725,               0.006535,               0.006535,               0.006535
                    107,                0.52722,                0.49412,                 1.0204,                0.97569,                0.95917,                0.97594,                0.83574,                0.61257,                0.31355,                 1.0572,               0.006502,               0.006502,               0.006502
                    108,                0.52483,                0.50618,                 1.0235,                0.97949,                0.96059,                0.97659,                0.83958,                0.59868,                  0.305,                 1.0449,               0.006469,               0.006469,               0.006469
                    109,                0.52514,                0.49531,                 1.0181,                0.97485,                0.96159,                0.97842,                0.83343,                0.61673,                0.31903,                 1.0601,               0.006436,               0.006436,               0.006436
                    110,                0.51453,                0.47276,                 1.0132,                0.97885,                0.95316,                0.98019,                0.84595,                0.59098,                0.30316,                  1.032,               0.006403,               0.006403,               0.006403
                    111,                0.52272,                0.49789,                 1.0201,                0.95842,                0.95746,                0.98166,                0.84394,                0.60682,                0.30211,                 1.0584,                0.00637,                0.00637,                0.00637
                    112,                0.50132,                0.46474,                 1.0056,                0.97438,                0.95051,                0.97785,                0.84546,                 0.5912,                0.29945,                 1.0548,               0.006337,               0.006337,               0.006337
                    113,                0.51623,                0.47637,                 1.0141,                0.97531,                0.95817,                0.97762,                0.85061,                0.58886,                  0.291,                 1.0429,               0.006304,               0.006304,               0.006304
